Date,Open,High,Low,Close,Volume,Market Cap
2015/5/19,233.04,234.15,231.82,231.95,"14,241,900.00","3,303,650,000.00"
2015/5/18,236.89,237.21,232.46,233.13,"16,780,300.00","3,357,380,000.00"
2015/5/17,236.01,238.03,236.01,236.80,"11,134,300.00","3,343,940,000.00"
2015/5/16,237.64,237.70,235.30,236.15,"11,089,700.00","3,366,300,000.00"
2015/5/15,236.96,238.75,236.80,237.61,"16,329,400.00","3,355,680,000.00"
2015/5/14,236.21,237.80,234.06,236.93,"24,413,700.00","3,344,280,000.00"
2015/5/13,241.40,243.70,235.05,236.38,"27,180,100.00","3,416,690,000.00"
2015/5/12,242.15,242.88,240.10,241.11,"19,282,600.00","3,426,350,000.00"
2015/5/11,240.30,244.27,239.38,242.16,"20,892,300.00","3,399,290,000.00"
2015/5/10,241.73,244.07,238.85,240.30,"15,019,100.00","3,418,740,000.00"
2015/5/9,243.77,247.80,239.64,241.83,"19,790,500.00","3,446,790,000.00"
2015/5/8,237.20,246.28,236.27,243.86,"27,445,500.00","3,353,090,000.00"
2015/5/7,229.66,239.11,228.57,237.33,"29,064,400.00","3,245,660,000.00"
2015/5/6,236.25,236.45,229.23,229.78,"29,587,200.00","3,337,790,000.00"
2015/5/5,238.85,239.20,232.05,236.12,"23,929,100.00","3,373,650,000.00"
2015/5/4,240.36,242.64,237.81,239.02,"21,223,400.00","3,394,130,000.00"
2015/5/3,234.88,243.24,234.08,240.36,"18,494,100.00","3,315,980,000.00"
2015/5/2,232.34,235.73,232.34,234.93,"12,535,500.00","3,279,270,000.00"
2015/5/1,235.94,238.97,232.08,232.08,"18,815,300.00","3,329,190,000.00"
2015/4/30,225.69,239.56,224.99,236.15,"33,818,600.00","3,183,860,000.00"
2015/4/29,225.59,227.04,223.43,225.81,"18,936,500.00","3,181,700,000.00"
2015/4/28,228.97,229.50,223.07,225.86,"21,469,200.00","3,228,470,000.00"
2015/4/27,219.43,233.31,218.02,229.29,"38,574,000.00","3,093,200,000.00"
2015/4/26,226.41,226.94,214.87,219.43,"28,943,700.00","3,190,790,000.00"
2015/4/25,231.24,232.56,226.34,226.39,"13,957,200.00","3,257,850,000.00"
2015/4/24,235.97,236.31,229.93,231.27,"21,448,700.00","3,323,830,000.00"
2015/4/23,234.05,236.48,233.20,236.46,"17,036,000.00","3,296,060,000.00"
2015/4/22,235.60,237.91,233.48,234.18,"23,847,900.00","3,316,990,000.00"
2015/4/21,224.62,235.27,224.30,235.27,"24,978,000.00","3,161,520,000.00"
2015/4/20,222.61,226.35,221.98,224.63,"18,364,700.00","3,132,400,000.00"
2015/4/19,223.46,226.35,222.37,222.60,"15,021,500.00","3,143,460,000.00"
2015/4/18,222.85,224.32,220.88,223.36,"12,939,000.00","3,134,170,000.00"
2015/4/17,228.58,228.91,221.94,222.88,"20,429,800.00","3,213,910,000.00"
2015/4/16,223.92,229.67,223.92,228.57,"24,805,400.00","3,147,650,000.00"
2015/4/15,219.07,223.83,218.65,223.83,"22,562,000.00","3,078,890,000.00"
2015/4/14,224.76,224.98,216.32,219.16,"31,719,000.00","3,157,970,000.00"
2015/4/13,235.95,236.94,222.00,224.59,"31,181,800.00","3,314,280,000.00"
2015/4/12,236.54,237.73,233.50,236.15,"12,387,900.00","3,321,740,000.00"
2015/4/11,236.02,239.54,234.18,236.55,"16,365,200.00","3,313,620,000.00"
2015/4/10,243.69,243.69,232.77,236.07,"28,882,000.00","3,420,500,000.00"
2015/4/9,244.75,246.12,239.40,243.68,"21,643,500.00","3,434,520,000.00"
2015/4/8,253.06,253.85,244.22,245.02,"30,086,400.00","3,550,390,000.00"
2015/4/7,255.27,255.81,252.21,253.18,"18,467,400.00","3,580,410,000.00"
2015/4/6,260.72,261.80,254.58,255.49,"20,034,200.00","3,655,990,000.00"
2015/4/5,253.76,260.68,251.94,260.60,"19,649,200.00","3,557,460,000.00"
2015/4/4,254.29,255.26,251.10,253.70,"12,493,500.00","3,563,920,000.00"
2015/4/3,253.07,256.04,251.88,254.32,"23,146,600.00","3,545,940,000.00"
2015/4/2,247.09,254.46,245.42,253.01,"26,272,600.00","3,461,060,000.00"
2015/4/1,244.22,247.54,241.16,247.27,"22,877,200.00","3,420,100,000.00"
2015/3/31,247.45,248.73,242.74,244.22,"22,672,000.00","3,464,410,000.00"
2015/3/30,242.88,249.24,239.21,247.53,"23,009,600.00","3,399,510,000.00"
2015/3/29,252.74,253.14,240.85,242.71,"21,699,400.00","3,536,570,000.00"
2015/3/28,246.98,254.21,246.98,252.80,"16,040,900.00","3,454,980,000.00"
2015/3/27,248.57,256.81,245.21,247.03,"17,274,900.00","3,476,180,000.00"
2015/3/26,246.28,254.35,244.91,248.53,"25,730,000.00","3,443,230,000.00"
2015/3/25,247.47,249.19,236.52,246.20,"35,866,900.00","3,458,950,000.00"
2015/3/24,266.58,267.00,244.16,245.60,"40,073,700.00","3,724,830,000.00"
2015/3/23,267.90,277.30,261.75,266.74,"22,811,900.00","3,742,290,000.00"
2015/3/22,259.92,269.75,259.59,267.96,"18,438,100.00","3,629,920,000.00"
2015/3/21,261.64,262.20,255.65,260.03,"17,130,100.00","3,653,040,000.00"
2015/3/20,260.96,264.85,259.16,261.75,"18,456,700.00","3,642,550,000.00"
2015/3/19,255.88,264.24,248.64,260.93,"52,732,000.00","3,570,820,000.00"
2015/3/18,285.07,285.34,249.87,256.30,"57,008,000.00","3,977,030,000.00"
2015/3/17,290.60,292.37,284.37,285.51,"21,497,200.00","4,053,230,000.00"
2015/3/16,285.69,294.11,285.69,290.59,"21,516,100.00","3,983,760,000.00"
2015/3/15,281.43,286.53,281.00,286.39,"11,970,100.00","3,923,350,000.00"
2015/3/14,284.44,286.34,280.98,281.89,"22,612,300.00","3,964,470,000.00"
2015/3/13,294.12,294.50,285.34,285.34,"31,421,500.00","4,098,250,000.00"
2015/3/12,296.13,297.09,292.41,294.35,"32,585,200.00","4,125,290,000.00"
2015/3/11,291.53,297.39,290.51,296.38,"33,963,900.00","4,060,030,000.00"
2015/3/10,289.86,300.04,289.74,291.76,"67,770,800.00","4,035,790,000.00"
2015/3/9,274.81,292.70,273.89,289.61,"59,178,200.00","3,825,250,000.00"
2015/3/8,276.43,277.86,272.57,274.35,"22,067,900.00","3,846,750,000.00"
2015/3/7,272.29,277.85,270.13,276.26,"17,825,900.00","3,788,190,000.00"
2015/3/6,275.60,277.61,270.02,272.72,"28,918,900.00","3,833,160,000.00"
2015/3/5,272.74,281.67,264.77,276.18,"41,302,400.00","3,792,480,000.00"
2015/3/4,281.99,284.23,268.13,273.09,"41,383,000.00","3,920,130,000.00"
2015/3/3,275.05,285.80,268.16,281.70,"50,461,300.00","3,822,510,000.00"
2015/3/2,260.36,276.30,258.31,275.67,"40,465,700.00","3,617,340,000.00"
2015/3/1,254.28,261.66,245.93,260.20,"25,213,700.00","3,532,050,000.00"
2015/2/28,253.52,254.69,249.48,254.26,"13,949,300.00","3,520,560,000.00"
2015/2/27,236.44,256.65,236.44,253.83,"44,013,900.00","3,282,410,000.00"
2015/2/26,237.34,237.71,234.26,236.43,"13,619,400.00","3,294,030,000.00"
2015/2/25,238.89,239.34,235.53,237.47,"11,496,200.00","3,314,640,000.00"
2015/2/24,239.00,239.90,236.40,238.74,"14,200,400.00","3,315,370,000.00"
2015/2/23,236.00,240.11,232.42,238.89,"16,400,000.00","3,272,880,000.00"
2015/2/22,244.54,246.39,233.85,235.98,"19,527,000.00","3,390,510,000.00"
2015/2/21,243.75,255.32,243.18,244.53,"12,284,200.00","3,378,660,000.00"
2015/2/20,240.25,247.10,239.30,243.78,"23,876,700.00","3,329,190,000.00"
2015/2/19,236.41,242.67,235.59,240.28,"18,270,500.00","3,274,980,000.00"
2015/2/18,243.78,244.25,232.34,236.33,"25,200,800.00","3,376,060,000.00"
2015/2/17,233.42,245.78,232.31,243.61,"27,363,100.00","3,231,750,000.00"
2015/2/16,234.83,239.52,229.02,233.84,"28,153,700.00","3,250,240,000.00"
2015/2/15,257.51,265.61,227.68,234.83,"56,552,400.00","3,563,290,000.00"
2015/2/14,235.53,259.81,235.53,257.32,"49,732,500.00","3,258,210,000.00"
2015/2/13,221.97,240.26,221.26,235.43,"42,744,400.00","3,069,830,000.00"
2015/2/12,219.21,222.20,217.61,221.76,"15,206,200.00","3,030,990,000.00"
2015/2/11,219.73,223.41,218.07,219.19,"17,201,900.00","3,037,370,000.00"
2015/2/10,220.28,221.81,215.33,219.84,"21,115,100.00","3,044,180,000.00"
2015/2/9,223.39,223.98,217.02,220.11,"27,791,300.00","3,086,220,000.00"
2015/2/8,227.69,229.44,221.08,223.41,"17,145,200.00","3,144,920,000.00"
2015/2/7,222.63,230.30,222.61,227.75,"21,604,200.00","3,074,140,000.00"
2015/2/6,216.92,230.51,216.23,222.27,"24,435,300.00","2,994,350,000.00"
2015/2/5,227.67,239.41,214.73,217.11,"22,516,400.00","3,141,730,000.00"
2015/2/4,227.51,230.06,221.11,226.85,"26,594,300.00","3,138,700,000.00"
2015/2/3,237.45,245.96,224.48,227.27,"40,783,700.00","3,275,110,000.00"
2015/2/2,226.49,242.18,222.66,238.23,"30,612,100.00","3,123,010,000.00"
2015/2/1,216.87,231.57,212.02,226.97,"29,128,500.00","2,989,460,000.00"
2015/1/31,226.44,233.50,216.31,217.46,"23,348,200.00","3,120,490,000.00"
2015/1/30,232.77,242.85,225.84,226.43,"26,605,200.00","3,206,940,000.00"
2015/1/29,233.35,238.71,220.71,233.51,"32,213,400.00","3,213,920,000.00"
2015/1/28,263.35,266.54,227.05,233.92,"44,352,200.00","3,626,050,000.00"
2015/1/27,273.17,275.48,250.65,263.48,"44,399,000.00","3,760,210,000.00"
2015/1/26,254.08,309.38,254.08,273.47,"106,794,000.00","3,496,650,000.00"
2015/1/25,247.35,255.07,243.89,253.72,"33,582,700.00","3,403,300,000.00"
2015/1/24,232.70,248.21,230.02,247.85,"24,782,500.00","3,200,970,000.00"
2015/1/23,233.52,234.85,225.20,232.88,"24,621,700.00","3,211,490,000.00"
2015/1/22,227.32,237.02,226.43,233.41,"33,544,600.00","3,125,520,000.00"
2015/1/21,211.38,227.79,211.21,226.90,"29,924,600.00","2,905,520,000.00"
2015/1/20,212.91,215.24,205.15,211.32,"24,051,100.00","2,925,910,000.00"
2015/1/19,211.47,216.73,207.32,214.86,"18,658,300.00","2,905,410,000.00"
2015/1/18,200.05,218.70,194.51,210.34,"30,085,100.00","2,747,730,000.00"
2015/1/17,207.83,211.73,194.88,199.26,"23,469,700.00","2,853,930,000.00"
2015/1/16,209.07,221.59,199.77,208.10,"38,421,000.00","2,870,180,000.00"
2015/1/15,176.90,229.07,176.90,209.84,"81,773,500.00","2,427,830,000.00"
2015/1/14,223.89,223.89,171.51,178.10,"97,638,700.00","3,072,020,000.00"
2015/1/13,267.39,268.28,219.91,225.86,"72,843,900.00","3,668,040,000.00"
2015/1/12,266.15,272.20,265.20,267.80,"18,880,300.00","3,649,970,000.00"
2015/1/11,274.61,279.64,265.04,265.66,"18,200,800.00","3,764,960,000.00"
2015/1/10,287.30,288.13,273.97,274.80,"15,264,300.00","3,937,990,000.00"
2015/1/9,282.38,291.11,280.53,290.41,"18,718,600.00","3,869,530,000.00"
2015/1/8,294.14,294.14,282.18,283.35,"19,982,500.00","4,029,490,000.00"
2015/1/7,286.08,298.75,283.08,294.34,"24,866,800.00","3,918,090,000.00"
2015/1/6,274.61,287.55,272.70,286.19,"23,245,700.00","3,759,970,000.00"
2015/1/5,265.08,278.34,265.08,274.47,"43,962,800.00","3,628,490,000.00"
2015/1/4,281.15,287.23,257.61,264.20,"55,629,100.00","3,847,150,000.00"
2015/1/3,314.85,315.15,281.08,281.08,"33,054,400.00","4,307,010,000.00"
2015/1/2,314.08,315.84,313.57,315.03,"7,860,650.00","4,295,210,000.00"
2015/1/1,320.44,320.44,314.00,314.25,"8,036,550.00","4,380,820,000.00"
2014/12/31,310.91,320.19,310.21,320.19,"13,942,900.00","4,249,480,000.00"
2014/12/30,312.72,314.81,309.37,310.74,"12,528,300.00","4,272,940,000.00"
2014/12/29,317.70,320.27,312.31,312.67,"12,302,500.00","4,339,700,000.00"
2014/12/28,316.16,320.03,311.08,317.24,"11,676,600.00","4,317,320,000.00"
2014/12/27,327.58,328.91,312.63,315.86,"15,185,200.00","4,472,050,000.00"
2014/12/26,319.15,331.42,316.63,327.92,"16,410,500.00","4,355,750,000.00"
2014/12/25,322.29,322.67,316.96,319.01,"9,883,640.00","4,397,250,000.00"
2014/12/24,334.39,334.74,321.36,322.53,"15,092,300.00","4,561,040,000.00"
2014/12/23,332.02,336.29,329.60,334.57,"16,574,200.00","4,527,490,000.00"
2014/12/22,321.07,334.12,320.43,331.89,"22,315,100.00","4,376,890,000.00"
2014/12/21,329.54,329.63,318.90,320.84,"15,207,600.00","4,491,320,000.00"
2014/12/20,317.62,330.33,316.04,329.96,"20,856,700.00","4,327,750,000.00"
2014/12/19,311.18,318.53,306.77,317.84,"23,823,100.00","4,238,930,000.00"
2014/12/18,319.79,323.71,304.23,311.40,"39,173,000.00","4,355,140,000.00"
2014/12/17,326.86,333.95,315.15,319.78,"37,567,900.00","4,450,380,000.00"
2014/12/16,345.67,345.86,327.06,327.06,"30,864,900.00","4,705,370,000.00"
2014/12/15,351.36,351.82,344.93,345.35,"17,264,200.00","4,781,560,000.00"
2014/12/14,346.73,353.32,345.42,351.63,"12,415,200.00","4,717,270,000.00"
